Tue Jun 27 21:52:45 2023    profiling_result.prof

         3524618 function calls (3519948 primitive calls) in 8.095 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    19947    0.013    0.000    0.022    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:656(king)
    82351    0.021    0.000    0.021    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:390(__init__)
    81/79    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.020    0.020 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\windows_events.py:1(<module>)
       61    0.019    0.000    0.019    0.000 {built-in method io.open_code}
   201457    0.019    0.000    0.019    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:1737(cast)
       82    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        7    0.000    0.000    0.018    0.003 <frozen importlib._bootstrap_external>:1174(create_module)
        7    0.016    0.002    0.018    0.003 {built-in method _imp.create_dynamic}
   178827    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
    19830    0.009    0.000    0.017    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2162(<genexpr>)
       69    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       69    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
   188976    0.016    0.000    0.016    0.000 {method 'bit_length' of 'int' objects}
   133100    0.016    0.000    0.016    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:131(square_file)
      176    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
     7458    0.013    0.000    0.015    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3054(has_kingside_castling_rights)
   117752    0.014    0.000    0.014    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:135(square_rank)
        1    0.000    0.000    0.014    0.014 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\windows_utils.py:1(<module>)
    28242    0.010    0.000    0.014    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:492(__hash__)
  219/214    0.003    0.000    0.014    0.000 {built-in method builtins.__build_class__}
    69754    0.013    0.000    0.013    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.013    0.013 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\tempfile.py:1(<module>)
      634    0.004    0.000    0.013    0.000 {built-in method builtins.sorted}
