Tue Jun 27 21:54:29 2023    profiling_result.prof

         1976220 function calls (1971581 primitive calls) in 3.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2536    0.005    0.000    0.006    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\contextlib.py:102(__init__)
     2708    0.006    0.000    0.006    0.000 {built-in method _thread.allocate_lock}
       61    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
     2536    0.002    0.000    0.006    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\contextlib.py:130(__enter__)
     5055    0.006    0.000    0.006    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:667(attacks_mask)
    28073    0.006    0.000    0.006    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2937(is_en_passant)
    17865    0.005    0.000    0.005    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3399(_to_chess960)
     2537    0.004    0.000    0.005    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\events.py:31(__init__)
    15300    0.004    0.000    0.005    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:476(__eq__)
     2536    0.004    0.000    0.005    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\_weakrefset.py:39(_remove)
     5072    0.004    0.000    0.005    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\engine.py:2337(_not_shut_down)
      629    0.000    0.000    0.005    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1768(is_checkmate)
        9    0.000    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\re.py:249(compile)
        9    0.000    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\re.py:288(_compile)
        9    0.000    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\sre_compile.py:783(compile)
    35730    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.004    0.004 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\events.py:1(<module>)
       12    0.000    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\enum.py:536(_convert_)
    43321    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
  329/307    0.000    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:306(inner)
       23    0.001    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\enum.py:180(__new__)
    17890    0.004    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:473(__bool__)
     2539    0.003    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\threading.py:267(__exit__)
     3726    0.002    0.000    0.004    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\polyglot.py:264(hash_ep_square)
28354/28345    0.004    0.000    0.004    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.003    0.003 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\bz2.py:1(<module>)
       39    0.000    0.000    0.003    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\enum.py:359(__call__)
     2539    0.002    0.000    0.003    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\threading.py:264(__enter__)
     2536    0.003    0.000    0.003    0.000 {method '_acquire_restore' of '_thread.RLock' objects}
       12    0.000    0.000    0.003    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\enum.py:483(_create_)
        1    0.000    0.000    0.003    0.003 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\stockfish\__init__.py:1(<module>)
     2536    0.002    0.000    0.003    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\engine.py:386(white)
      256    0.000    0.000    0.003    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:317(_step_attacks)
       61    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.003    0.003 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\staggered.py:1(<module>)
        6    0.002    0.000    0.003    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.002    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\lzma.py:1(<module>)
       81    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        9    0.000    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\sre_parse.py:944(parse)
     33/9    0.000    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\sre_parse.py:436(_parse_sub)
       85    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      122    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
    10560    0.002    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:329(_carry_rippler)
     2536    0.002    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\engine.py:284(__init__)
    46/11    0.001    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\sre_parse.py:494(_parse)
       80    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.002    0.002    0.002    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:359(_rays)
        1    0.000    0.000    0.002    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\subprocess.py:1(<module>)
     3490    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.002    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\coroutines.py:1(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\stockfish\models.py:1(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\stockfish\models.py:21(Stockfish)
    21669    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.002    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\selectors.py:1(<module>)
